Artist,Album,Track,Time,day
Cloud Nothings,Last Building Burning,Another Way Of Life,9/6/21 21:07,Monday
Cloud Nothings,Last Building Burning,So Right So Clean,9/6/21 21:03,Monday
Cloud Nothings,Last Building Burning,Dissolution,9/6/21 20:53,Monday
Cloud Nothings,Last Building Burning,The Echo Of The World,9/6/21 20:49,Monday
Cloud Nothings,Last Building Burning,Offer An End,9/6/21 20:45,Monday
Cloud Nothings,Last Building Burning,In Shame,9/6/21 20:41,Monday
Cloud Nothings,Last Building Burning,Leave Him Now,9/6/21 20:38,Monday
Cloud Nothings,Last Building Burning,On An Edge,9/6/21 20:35,Monday
Cloud Nothings,Last Building Burning,Another Way Of Life,9/6/21 20:32,Monday
Cloud Nothings,Last Building Burning,So Right So Clean,9/6/21 20:28,Monday
Cloud Nothings,Last Building Burning,Dissolution,9/6/21 20:14,Monday
Cloud Nothings,Last Building Burning,The Echo Of The World,9/6/21 20:10,Monday
Cloud Nothings,Last Building Burning,Offer An End,9/6/21 20:06,Monday
Cloud Nothings,Last Building Burning,In Shame,9/6/21 19:47,Monday
Cloud Nothings,Last Building Burning,Leave Him Now,9/6/21 19:44,Monday
Cloud Nothings,Last Building Burning,On An Edge,9/6/21 19:41,Monday
Violent Soho,Violent Soho,Jesus Stole My Girlfriend,9/6/21 19:11,Monday
Violent Soho,Everything Is A-OK,A-OK,9/6/21 19:08,Monday
Violent Soho,Everything Is A-OK,Pity Jar,9/6/21 19:05,Monday
Violent Soho,Everything Is A-OK,Easy,9/6/21 19:02,Monday
Violent Soho,Everything Is A-OK,Lying On The Floor,9/6/21 18:58,Monday
Violent Soho,Everything Is A-OK,Slow Down Sonic,9/6/21 18:54,Monday
Violent Soho,Everything Is A-OK,Shelf Life,9/6/21 18:51,Monday
Violent Soho,Everything Is A-OK,Canada,9/6/21 18:31,Monday
Violent Soho,Everything Is A-OK,Pick It up Again,9/6/21 18:28,Monday
Violent Soho,Everything Is A-OK,Vacation Forever,9/6/21 18:23,Monday
Violent Soho,Everything Is A-OK,Sleep Year,9/6/21 18:20,Monday
Skegss,My Own Mess,Transaction Fee,9/6/21 18:17,Monday
Teenage Fanclub,Bandwagonesque,What You Do To Me,9/6/21 18:13,Monday
Old 97's,The Grand Theatre Vol. 1,Every Night is Friday Night (Without You),9/6/21 18:10,Monday
Matthew Sweet,Blue Sky On Mars,Where You Get Love,9/6/21 18:06,Monday
Matthew Sweet,Girlfriend,Nothing Lasts,9/6/21 18:03,Monday
Matthew Sweet,Girlfriend,Holy War,9/6/21 17:59,Monday
Matthew Sweet,Girlfriend,Does She Talk?,9/6/21 16:26,Monday
Matthew Sweet,Girlfriend,Your Sweet Voice,9/6/21 16:22,Monday
Matthew Sweet,Girlfriend,Don't Go,9/6/21 16:19,Monday
Matthew Sweet,Girlfriend,I Wanted To Tell You,9/6/21 16:14,Monday
Matthew Sweet,Girlfriend,You Don't Love Me,9/6/21 16:07,Monday
Matthew Sweet,Girlfriend,Thought I Knew You,9/6/21 16:04,Monday
Matthew Sweet,Girlfriend,Day For Night,9/6/21 16:01,Monday
Matthew Sweet,Girlfriend,Evangeline,9/6/21 15:56,Monday
Matthew Sweet,Girlfriend,Winona,9/6/21 15:51,Monday
Matthew Sweet,Girlfriend,Looking at the Sun,9/6/21 15:47,Monday
Matthew Sweet,Girlfriend,Girlfriend,9/6/21 15:43,Monday
Matthew Sweet,Girlfriend,I've Been Waiting,9/6/21 15:40,Monday
Matthew Sweet,Girlfriend,Divine Intervention,9/6/21 15:16,Monday
Matthew Sweet,Catspaw,No Surprise,9/6/21 14:21,Monday
Matthew Sweet,Catspaw,At A Loss,9/6/21 14:17,Monday
Matthew Sweet,Catspaw,Hold On Tight,9/6/21 14:14,Monday
Matthew Sweet,Catspaw,Stars Explode,9/6/21 14:11,Monday
Matthew Sweet,Catspaw,Best Of Me,9/6/21 14:08,Monday
Matthew Sweet,Catspaw,Drifting,9/6/21 14:05,Monday
Matthew Sweet,Catspaw,Come Home,9/6/21 14:00,Monday
Matthew Sweet,Catspaw,Challenge The Gods,9/6/21 13:56,Monday
Matthew Sweet,Catspaw,Give A Little,9/6/21 13:53,Monday
Matthew Sweet,Catspaw,Blown Away,9/6/21 13:49,Monday
Matthew Sweet,Catspaw,Give A Little,9/6/21 13:46,Monday
Big Star,Radio City,September Gurls,9/6/21 13:43,Monday
Cracker,Kerosene Hat,Low,9/6/21 13:38,Monday
Teenage Fanclub,Bandwagonesque,What You Do To Me,9/6/21 13:36,Monday
Material Issue,International Pop Overthrow,Valerie Loves Me,9/6/21 13:33,Monday
Matthew Sweet,Altered Beast,Ugly Truth Rock,9/6/21 13:30,Monday
Matthew Sweet,100 % Fun,Smog Moon,9/6/21 13:26,Monday
Matthew Sweet,100 % Fun,Get Older,9/6/21 13:23,Monday
Matthew Sweet,100 % Fun,Super Baby,9/6/21 13:20,Monday
Matthew Sweet,100 % Fun,I Almost Forgot,9/6/21 13:17,Monday
Matthew Sweet,100 % Fun,Walk Out,9/6/21 13:14,Monday
Matthew Sweet,100 % Fun,Come To Love,9/6/21 13:11,Monday
Matthew Sweet,100 % Fun,Lost My Mind,9/6/21 13:06,Monday
Matthew Sweet,100 % Fun,Everything Changes,9/6/21 13:03,Monday
Matthew Sweet,100 % Fun,Giving It Back,9/6/21 12:59,Monday
Matthew Sweet,100 % Fun,We're the Same,9/6/21 12:56,Monday
Matthew Sweet,100 % Fun,Not When I Need It,9/6/21 12:53,Monday
Matthew Sweet,100 % Fun,Sick of Myself,9/6/21 12:49,Monday
Matthew Sweet,100 % Fun,Sick of Myself,9/6/21 1:52,Monday
Matthew Sweet,100 % Fun,Sick of Myself,9/5/21 22:05,Sunday
Wipers,Over The Edge,Over The Edge,9/5/21 22:01,Sunday
The Replacements,Dead Man's Pop,Black Diamond - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:57,Sunday
The Replacements,Dead Man's Pop,Left Of The Dial - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:53,Sunday
The Replacements,Dead Man's Pop,Valentine - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:50,Sunday
The Replacements,Dead Man's Pop,Here Comes A Regular - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:45,Sunday
The Replacements,Dead Man's Pop,Never Mind - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:41,Sunday
The Replacements,Dead Man's Pop,Born To Lose - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:38,Sunday
The Replacements,Dead Man's Pop,Color Me Impressed - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:35,Sunday
The Replacements,Dead Man's Pop,Can't Hardly Wait - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:32,Sunday
The Replacements,Dead Man's Pop,We'll Inherit The Earth - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:15,Sunday
The Replacements,Dead Man's Pop,Unsatisfied - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:12,Sunday
The Replacements,Dead Man's Pop,I Won't - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:08,Sunday
The Replacements,Dead Man's Pop,Another Girl Another Planet - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:05,Sunday
The Replacements,Dead Man's Pop,I Will Dare - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:53,Sunday
The Replacements,Dead Man's Pop,Darlin' One - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:19,Sunday
The Replacements,Dead Man's Pop,I'll Be You - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:16,Sunday
The Replacements,Dead Man's Pop,Little Mascara - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:12,Sunday
The Replacements,Dead Man's Pop,Answering Machine - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:09,Sunday
The Replacements,Dead Man's Pop,Bastards Of Young - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:06,Sunday
The Replacements,Dead Man's Pop,Asking Me Lies - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:58,Sunday
The Replacements,Dead Man's Pop,Achin' To Be - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:52,Sunday
The Replacements,Dead Man's Pop,Cruella de Ville - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:49,Sunday
The Replacements,Dead Man's Pop,Nightclub Jitters - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:45,Sunday
The Replacements,Dead Man's Pop,Anywhere's Better Than Here - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:43,Sunday
The Replacements,Dead Man's Pop,Waitress In The Sky - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:41,Sunday
The Replacements,Dead Man's Pop,The Ledge - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:36,Sunday
The Replacements,Dead Man's Pop,I Don't Know - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:33,Sunday
The Replacements,Dead Man's Pop,Back To Back - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:30,Sunday
The Replacements,Dead Man's Pop,Talent Show - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:26,Sunday
The Replacements,Dead Man's Pop,Alex Chilton - Live at University of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:22,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Fuck School - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:18,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Go - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:15,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Nowhere Man - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:13,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Hitchin' A Ride - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:10,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Baby Strange - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:07,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,If Only You Were Lonely - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:21,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Gary's Got A Boner - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:18,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Take Me Down To The Hospital - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:14,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Waitress In The Sky - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:12,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Answering Machine - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:09,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,God Damn Job - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:07,Sunday
