Artist,Album,Track,Time,day,genre
Cloud Nothings,Last Building Burning,Another Way Of Life,9/6/21 21:07,Monday,rock
Cloud Nothings,Last Building Burning,So Right So Clean,9/6/21 21:03,Monday,rock
Cloud Nothings,Last Building Burning,Dissolution,9/6/21 20:53,Monday,rock
Cloud Nothings,Last Building Burning,The Echo Of The World,9/6/21 20:49,Monday,rock
Cloud Nothings,Last Building Burning,Offer An End,9/6/21 20:45,Monday,rock
Cloud Nothings,Last Building Burning,In Shame,9/6/21 20:41,Monday,rock
Cloud Nothings,Last Building Burning,Leave Him Now,9/6/21 20:38,Monday,rock
Cloud Nothings,Last Building Burning,On An Edge,9/6/21 20:35,Monday,rock
Cloud Nothings,Last Building Burning,Another Way Of Life,9/6/21 20:32,Monday,rock
Cloud Nothings,Last Building Burning,So Right So Clean,9/6/21 20:28,Monday,rock
Cloud Nothings,Last Building Burning,Dissolution,9/6/21 20:14,Monday,rock
Cloud Nothings,Last Building Burning,The Echo Of The World,9/6/21 20:10,Monday,rock
Cloud Nothings,Last Building Burning,Offer An End,9/6/21 20:06,Monday,rock
Cloud Nothings,Last Building Burning,In Shame,9/6/21 19:47,Monday,rock
Cloud Nothings,Last Building Burning,Leave Him Now,9/6/21 19:44,Monday,rock
Cloud Nothings,Last Building Burning,On An Edge,9/6/21 19:41,Monday,rock
Skegss,My Own Mess,Transaction Fee,9/6/21 18:17,Monday,alternative
Old 97's,The Grand Theatre Vol. 1,Every Night is Friday Night (Without You),9/6/21 18:10,Monday,punk
Cracker,Kerosene Hat,Low,9/6/21 13:38,Monday,punk
Wipers,Over The Edge,Over The Edge,9/5/21 22:01,Sunday,punk
The Replacements,Dead Man's Pop,Black Diamond - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:57,Sunday,punk
The Replacements,Dead Man's Pop,Left Of The Dial - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:53,Sunday,punk
The Replacements,Dead Man's Pop,Valentine - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:50,Sunday,punk
The Replacements,Dead Man's Pop,Here Comes A Regular - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:45,Sunday,punk
The Replacements,Dead Man's Pop,Never Mind - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:41,Sunday,punk
The Replacements,Dead Man's Pop,Born To Lose - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:38,Sunday,punk
The Replacements,Dead Man's Pop,Color Me Impressed - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:35,Sunday,punk
The Replacements,Dead Man's Pop,Can't Hardly Wait - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:32,Sunday,punk
The Replacements,Dead Man's Pop,We'll Inherit The Earth - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:15,Sunday,punk
The Replacements,Dead Man's Pop,Unsatisfied - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:12,Sunday,punk
The Replacements,Dead Man's Pop,I Won't - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:08,Sunday,punk
The Replacements,Dead Man's Pop,Another Girl Another Planet - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 21:05,Sunday,punk
The Replacements,Dead Man's Pop,I Will Dare - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:53,Sunday,punk
The Replacements,Dead Man's Pop,Darlin' One - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:19,Sunday,punk
The Replacements,Dead Man's Pop,I'll Be You - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:16,Sunday,punk
The Replacements,Dead Man's Pop,Little Mascara - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:12,Sunday,punk
The Replacements,Dead Man's Pop,Answering Machine - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:09,Sunday,punk
The Replacements,Dead Man's Pop,Bastards Of Young - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 20:06,Sunday,punk
The Replacements,Dead Man's Pop,Asking Me Lies - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:58,Sunday,punk
The Replacements,Dead Man's Pop,Achin' To Be - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:52,Sunday,punk
The Replacements,Dead Man's Pop,Cruella de Ville - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:49,Sunday,punk
The Replacements,Dead Man's Pop,Nightclub Jitters - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:45,Sunday,punk
The Replacements,Dead Man's Pop,Anywhere's Better Than Here - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:43,Sunday,punk
The Replacements,Dead Man's Pop,Waitress In The Sky - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:41,Sunday,punk
The Replacements,Dead Man's Pop,The Ledge - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:36,Sunday,punk
The Replacements,Dead Man's Pop,I Don't Know - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:33,Sunday,punk
The Replacements,Dead Man's Pop,Back To Back - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:30,Sunday,punk
The Replacements,Dead Man's Pop,Talent Show - Live at University Of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:26,Sunday,punk
The Replacements,Dead Man's Pop,Alex Chilton - Live at University of Wisconsin-Milwaukee WI 6/2/1989,9/5/21 19:22,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Fuck School - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:18,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Go - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:15,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Nowhere Man - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:13,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Hitchin' A Ride - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:10,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Baby Strange - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 19:07,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,If Only You Were Lonely - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:21,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Gary's Got A Boner - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:18,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Take Me Down To The Hospital - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:14,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Waitress In The Sky - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:12,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Answering Machine - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:09,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,God Damn Job - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:07,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Left Of The Dial - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:04,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,I'm In Trouble - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:00,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Otto - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 15:57,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Johnny's Gonna Die - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 15:54,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Black Diamond - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 15:17,Sunday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Kiss Me On The Bus - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:46,Saturday,punk
The Replacements,For Sale: Live at Maxwell's 1986,Bastards Of Young - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:42,Saturday,punk
